프로그램명,url,values,rating,장르,방송 채널,방송 시간
시크릿 부티크,https://ko.wikipedia.org/wiki/%EC%8B%9C%ED%81%AC%EB%A6%BF_%EB%B6%80%ED%8B%B0%ED%81%AC,"{'장르': '멜로, 복수, 미스터리', '방송 국가': '대한민국', '방송 채널': 'SBS', '방송 기간': '2019년 9월 18일 ~ 2019년 11월 28일', '방송 시간': '매주 수, 목 밤 10:00 ~ 11:10', '방송 분량': '70분', '방송 횟수': '16부작', '기획': 'SBS 드라마본부', '제작사': '더스토리웍스', '제작자': '송경화', '연출': '박형기', '각본': '허선희', '출연자': '김선아, 장미희, 박희본, 고민시,김재영, 김태훈 외', 'HD 방송 여부': 'UHD 제작 · 방송', '외부 링크': '시크릿 부티크 홈페이지'}",6.0%,"멜로, 복수, 미스터리",SBS,"매주 수, 목 밤 10:00 ~ 11:10"
동백꽃 필 무렵,https://ko.wikipedia.org/wiki/%EB%8F%99%EB%B0%B1%EA%BD%83_%ED%95%84_%EB%AC%B4%EB%A0%B5,"{'장르': '멜로, 휴머니즘, 스릴러', '방송 국가': '대한민국', '방송 채널': 'KBS 2TV', '방송 기간': '2019년 9월 18일 ~ 2019년 11월 21일', '방송 시간': '매주 수요일, 목요일 밤 10:00 ~ 11:10', '방송 분량': '1시간 10분 (1회당 35분)', '방송 횟수': '40부작 + 스페셜 4부작', '추가 채널': 'KBS 드라마, 채널칭', '기획': '황의경 (KBS 드라마본부)', '책임프로듀서': '이건준, 노상훈 (KBS 드라마운영팀)', '프로듀서': '윤재혁', '제작사': '팬엔터테인먼트', '제작자': '김희열', '연출': '차영훈, 강민경', '각본': '임상춘', '출연자': '공효진, 강하늘, 김지석, 지이수, 손담비 외', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '동백꽃 필 무렵 홈페이지'}",23.8%,"멜로, 휴머니즘, 스릴러",KBS 2TV,"매주 수요일, 목요일 밤 10:00 ~ 11:10"
달리는 조사관,https://ko.wikipedia.org/wiki/%EB%8B%AC%EB%A6%AC%EB%8A%94_%EC%A1%B0%EC%82%AC%EA%B4%80,"{'장르': '휴먼', '방송 국가': '대한민국', '방송 채널': 'OCN', '방송 기간': '2019년 9월 18일 ~ 2019년 10월 31일', '방송 시간': '매주 수요일, 목요일 밤 11시', '방송 분량': '60분', '방송 횟수': '14부작', '기획': '스튜디오드래곤', '제작사': '데이드림엔터테인먼트', '제작자': '송정우', '연출': '김용수', '각본': '백정철', '출연자': '이요원, 최귀화 외', '언어': '한국어', '음성': '2채널 돌비 디지털', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '달리는 조사관 홈페이지'}",1.3%,휴먼,OCN,"매주 수요일, 목요일 밤 11시"
쌉니다 천리마마트,https://ko.wikipedia.org/wiki/%EC%8C%89%EB%8B%88%EB%8B%A4_%EC%B2%9C%EB%A6%AC%EB%A7%88%EB%A7%88%ED%8A%B8_(%EB%93%9C%EB%9D%BC%EB%A7%88),"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': 'tvN', '방송 기간': '2019년 9월 20일 ~ 2019년 12월 6일', '방송 시간': '매주 금요일 오후 11시', '방송 횟수': '12부작', '추가 채널': 'O tvN', '원작': '김규삼의 웹툰《쌉니다 천리마마트》', '기획': '이명한', '제작사': '스튜디오N[1], CJ ENM', '연출': '백승룡, 조은솔, 손용락', '각본': '김솔지', '출연자': '김병철, 이동휘 외', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '쌉니다 천리마마트 홈페이지'}",3.4%,드라마,tvN,매주 금요일 오후 11시
배가본드,https://ko.wikipedia.org/wiki/%EB%B0%B0%EA%B0%80%EB%B3%B8%EB%93%9C_(%EB%93%9C%EB%9D%BC%EB%A7%88),"{'장르': '범죄, 첩보, 액션, 재난, 멜로', '방송 국가': '대한민국', '방송 채널': 'SBS, 넷플릭스, WAVVE', '방송 기간': '2019년 9월 20일  ~ 2019년 11월 23일', '방송 시간': '매주 금요일, 토요일 밤 10:00 ~ 11:10', '방송 분량': '1시간 10분 (1회당 3부 분할 방송)', '방송 횟수': '16부작', '추가 채널': 'SBS 플러스, 스카이 드라마, 드라마큐브', '기획': '이영우 \nSBS 드라마본부', '책임프로듀서': '이용석 (SBS 드라마운영팀)', '제작사': '셀트리온 엔터테인먼트', '제작자': '박재삼, 김지우', '연출': '유인식', '각본': '장영철, 정경순', '출연자': '이승기, 배수지, 신성록 외', '음악': '남혜승', '닫는 곡': '아일 - Breaking Dawn\n더 베인 - Open Fire\n하현우 - Vagabond (Prod. By MAKTUB)', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'UHD 제작 · 방송', '외부 링크': '<배가본드> 홈페이지'}",13.0%,"범죄, 첩보, 액션, 재난, 멜로","SBS, 넷플릭스, WAVVE","매주 금요일, 토요일 밤 10:00 ~ 11:10"
청일전자 미쓰리,https://ko.wikipedia.org/wiki/%EC%B2%AD%EC%9D%BC%EC%A0%84%EC%9E%90_%EB%AF%B8%EC%93%B0%EB%A6%AC,"{'장르': '드라마', '방송 국가': '대한민국', '방송 채널': 'tvN', '방송 기간': '2019년 9월 25일 ~ 2019년 11월 14일', '방송 시간': '매주 수요일, 목요일 밤 9시 30분', '방송 횟수': '16부작', '제작사': '스튜디오 드래곤 / 로고스필름', '제작자': '이장수', '연출': '한동화', '각본': '박정화', '출연자': '이혜리, 김상경 외', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '청일전자 미쓰리 홈페이지'}",3.9%,드라마,tvN,"매주 수요일, 목요일 밤 9시 30분"
사랑은 뷰티풀 인생은 원더풀,https://ko.wikipedia.org/wiki/%EC%82%AC%EB%9E%91%EC%9D%80_%EB%B7%B0%ED%8B%B0%ED%92%80_%EC%9D%B8%EC%83%9D%EC%9D%80_%EC%9B%90%EB%8D%94%ED%92%80,"{'장르': '가족, 로맨틱 코미디, 막장', '방송 국가': '대한민국', '방송 채널': 'KBS 2TV', '방송 기간': '2019년 9월 28일 ~ 2020년 3월 22일', '방송 시간': '매주 주말 저녁 7:55 ~ 밤 9:15', '방송 분량': '1시간 20분 (1회당 40분 / 2회 연속 방송)', '방송 횟수': '100부작 + 스페셜 4부작', '기획': 'KBS 드라마본부', '책임프로듀서': '배경수 (KBS 드라마운영팀)', '프로듀서': '이은진, 최상열', '제작사': 'HB엔터테인먼트', '제작자': '문보미', '연출': '한준서', '조연출': '최정은, 유호준, 박경민', '극본': '배유미, 구지원(63회~100회)', '출연자': '설인아, 김재영, 조윤희, 윤박, 오민석 외', '여는 곡': 'Various Artists - 사랑은 뷰티풀 인생은 원더풀', '닫는 곡': '박정현 - 미아소향 - 길나윤권 - 내가 해줄 수 있는 일도형(비욘드) - 그래서 우리는NIA(니아) - Destiny', '음성': '2채널 돌비 디지털(디지털)', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작·방송', '외부 링크': '사랑은 뷰티풀 인생은 원더풀 공식 홈페이지'}",32.3%,"가족, 로맨틱 코미디, 막장",KBS 2TV,매주 주말 저녁 7:55 ~ 밤 9:15
날 녹여주오,https://ko.wikipedia.org/wiki/%EB%82%A0_%EB%85%B9%EC%97%AC%EC%A3%BC%EC%98%A4,"{'장르': '판타지, 드라마', '방송 국가': '대한민국', '방송 채널': 'tvN', '방송 기간': '2019년 9월 28일 ~ 2019년 11월 17일', '방송 시간': '매주 토요일 밤 9시 10분 ~ 10시 23분\n매주 일요일 밤 9시 10분 ~ 10시 21분', '방송 횟수': '16부작', '추가 채널': 'O tvN', '기획': '스튜디오드래곤', '제작사': '스튜디오드래곤, 스토리피닉스㈜', '제작자': '백미경, 최연주', '연출': '신우철, 최지영', '각본': '백미경', '출연자': '지창욱, 원진아 외', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '날 녹여주오 홈페이지'}",3.2%,"판타지, 드라마",tvN,"매주 토요일 밤 9시 10분 ~ 10시 23분
매주 일요일 밤 9시 10분 ~ 10시 21분"
조선로코-녹두전,https://ko.wikipedia.org/wiki/%EC%A1%B0%EC%84%A0%EB%A1%9C%EC%BD%94-%EB%85%B9%EB%91%90%EC%A0%84,"{'장르': '로맨스, 사극', '방송 국가': '대한민국', '방송 채널': 'KBS 2TV', '방송 기간': '2019년 9월 30일 ~ 2019년 11월 25일', '방송 시간': '매주 월요일, 화요일 밤 10:00 ~ 11:10', '방송 분량': '1시간 10분 (1회당 35분 / 2회 연속방송)', '방송 횟수': '32부작', '추가 채널': 'KBS Drama, 드라마 H, SKY, KBS Story', '원작': '혜진양의 웹툰《녹두전》', '기획': 'KBS 드라마본부', '제작사': '프로덕션H, 몬스터유니온, 조선로코녹두전문화산업전문회사', '제작자': '황창우, 조혜린, 정해룡', '연출': '김동휘, 강수연', '각본': '임예진, 백소연', '출연자': '장동윤, 김소현, 강태오, 정준호,김태우, 윤유선, 이승준 외', '닫는 곡': 'NCT U - Baby only You', '음성': '2채널 돌비 디지털(디지털)', '자막': '청각 장애인을 위한 자막 방송', 'HD 방송 여부': 'HD 제작 · 방송', '외부 링크': '조선로코-녹두전 홈페이지'}",,"로맨스, 사극",KBS 2TV,"매주 월요일, 화요일 밤 10:00 ~ 11:10"
어쩌다 발견한 하루,https://ko.wikipedia.org/wiki/%EC%96%B4%EC%A9%8C%EB%8B%A4_%EB%B0%9C%EA%B2%AC%ED%95%9C_%ED%95%98%EB%A3%A8,"{'장르': '로맨틱 판타지, 로맨스 드라마', '방송 국가': '대한민국', '방송 채널': 'MBC', '방송 기간': '2019년 10월 2일 ~ 2019년 11월 21일', '방송 시간': '매주 수, 목 저녁 8:55 ~ 밤 10:05', '방송 분량': '1시간 10분 (1회당 35분)', '방송 횟수': '32부작', '추가 채널': 'MBC 드라마넷', '원작': '무류의 웹툰《어쩌다 발견한 7월》', '기획': '김대진', '프로듀서': '남궁성우, 문주희', '촬영': '윤권수, 이태오(CGK), 정순동, 이유호', '제작사': 'MBC 드라마본부래몽래인[1]', '제작자': '김동래', '연출': '김상협', '각본': '인지혜, 송하영', '출연자': '김혜윤, 로운, 이재욱, 이나은, 정건주, 김영대, 이태리 외', '여는 곡': '박세준, 우지훈 - Walk The Sky (Title)', '닫는 곡': '베리베리 - My Beauty\nSondia - 첫사랑\nSondia - 한 번도 하지 못한 이야기\n스트레이 키즈 - 끝나지 않을 이야기', '외부 링크': '어쩌다 발견한 하루 홈페이지'}",4.1%,"로맨틱 판타지, 로맨스 드라마",MBC,"매주 수, 목 저녁 8:55 ~ 밤 10:05"
