,text,text_mark_rm,text_checked,text_len
10560,정일우 나가고 이유리 나가고 이정현 이영자 이경규가 그나마 멱살잡고 살리는데 여기서 한명만 더 하차한다면 와르르 망할듯.. 뜬금 트롯가수들불러서 뭐하는건지 삼시세끼도그닥이라 잘만하면 넘을수있을텐데 이상한 방향으로 자꾸가네.. 삼시세끼보다가도 편스토랑 나올 시간되면 채널돌리며 볼만큼 잼있는 프로였는데 이제는 삼시세끼도 그닥이지만 그래도 편스보다 그게 더 낫다고 보고있음.지금 편스 재방으로 보는데 중간에 채널돌렸다 정말 안되겟다 이제 즐겨찾기에서 제외해야할듯함.. 어느순간부터 점점 산으로 가더니 피디욕심으로 좋은 프로 망치네,정일우 나가고 이유리 나가고 이정현 이영자 이경규가 그나마 멱살잡고 살리는데 여기서 한명만 더 하차한다면 와르르 망할듯 뜬금 트롯가수들불러서 뭐하는건지 삼시세끼도그닥이라 잘만하면 넘을수있을텐데 이상한 방향으로 자꾸가네 삼시세끼보다가도 편스토랑 나올 시간되면 채널돌리며 볼만큼 잼있는 프로였는데 이제는 삼시세끼도 그닥이지만 그래도 편스보다 그게 더 낫다고 보고있음지금 편스 재방으로 보는데 중간에 채널돌렸다 정말 안되겟다 이제 즐겨찾기에서 제외해야할듯함 어느순간부터 점점 산으로 가더니 피디욕심으로 좋은 프로 망치네,정일우 나가고 이유리 나가고 이정현 이영자 이경규가 그나마 멱살 잡고 살리는데 여기서 한 명만 더 하차한다면 와르르 망할 듯 뜬금 트롯가수들 불러서 뭐 하는 건지 삼시 세끼도 별로이라 잘만 하면 넘을 수 있을 텐데 이상한 방향으로 자꾸 가네 삼시 세끼 보다가도 편이 스토랑 나올 시간 되면 채널 돌리며 볼 만큼 재밌는 프로였는데 이제는 삼시 세끼도 별로이지만 그래도 편수보다 그게 더 낫다고 보고 있음 지금 편 쓰 재방으로 보는데 중간에 채널 돌렸다 정말 안되겠다 이제 즐겨찾기에서 제외해야 할듯함 어느 순간부터 점점 산으로 가더니 피디 욕심으로 좋은 프로 망치네,287
10561,이원일씨 않나오니까 심사워원들 분량도없고 연복쉐프만 보여주고 재미없음 어제처음 다른채널 돌려봤음 금요일만 기다렸는데 ㅠ 참신한 요리개발을 보고싶당,이원일씨 않나오니까 심사워원들 분량도없고 연복쉐프만 보여주고 재미없음 어제처음 다른채널 돌려봤음 금요일만 기다렸는데 ㅠ 참신한 요리개발을 보고싶당,이원일 씨 안 나오니까 심사위원들 분량도 없고 연복 셰프만 보여주고 재미없음 어제 처음 다른 채널 돌려봤음 금요일만 기다렸는데 ㅠ 참신한 요리 개발을 보고 싶다,81
10562,점점 정신없어 지는듯..신선하다는 느낌으로 기다니며 봤는데 어수선하고 요리방송같지않음 딱 오윤아까지만,점점 정신없어 지는듯신선하다는 느낌으로 기다니며 봤는데 어수선하고 요리방송같지않음 딱 오윤아까지만,점점 정신 없어지는 듯 신선하다는 느낌으로 게 다니며 봤는데 어수선하고 요리 방송 같지 않음 딱 오윤아까지만,54
10563,이유리씨 아쉬워요ㅠ 챙겨봤는데..,이유리씨 아쉬워요ㅠ 챙겨봤는데,이유리 씨 아쉬워요ㅠ 챙겨봤는데,16
10564,이원일 나오나요?,이원일 나오나요,이원일 나오나요,8
10565,이유리 나가고 안봄,이유리 나가고 안봄,이유리 나가고 안 봄,10
10566,이정현신랑은 베비표 달고면 내보내지 말아요..짜증나,이정현신랑은 베비표 달고면 내보내지 말아요짜증나,이정현 신랑은 베비 표 달고 면 내보내지 말아요 짜증 나,26
10567,나오는 사람들 너무 많아서 제작비 많이들듯,나오는 사람들 너무 많아서 제작비 많이들듯,나오는 사람들 너무 많아서 제작비 많이 들듯,23
10568,유리 나가고 잘안봄 이정현편만 보고 안봄,유리 나가고 잘안봄 이정현편만 보고 안봄,유리 나가고 잘 안 봄 이정현 편만 보고 안 봄,22
10569,김수찬과 다른 트롯맨들 함께 출연했으면 시청률대박인뎅~~아쉽,김수찬과 다른 트롯맨들 함께 출연했으면 시청률대박인뎅아쉽,김수찬과 다른 트롯 맨들 함께 출연했으면 시청률대박인뎅아쉽,31
10570,틀리트롯맨들은  안보고싶다,틀리트롯맨들은  안보고싶다,특리 트롯 맨들은  안 보고 싶다,14
10571,방송에도 나왔듯이 조정민 님은 고정이 아니라 게스트예요 ㅋㅋㅋㅋ 조정민 님 실검 1위 하실 때 동시간대 타 출연자 분은 실검 6위 하셨던데 비방하지 마세요,방송에도 나왔듯이 조정민 님은 고정이 아니라 게스트예요 ㅋㅋㅋㅋ 조정민 님 실검 1위 하실 때 동시간대 타 출연자 분은 실검 6위 하셨던데 비방하지 마세요,방송에도 나왔듯이 조정민 님은 고정이 아니라 게스트예요 ㅋㅋㅋㅋ 조정민 님 실검 1위 하실 때 동시간대 타 출연자분은 실검 6위 하셨던데 비방하지 마세요,86
10572,이유리씨가 다시나오면좋켔어요.조정민씨 나오는건 별루인것같습니다.재미가 마니없어져서 안타까워요,이유리씨가 다시나오면좋켔어요조정민씨 나오는건 별루인것같습니다재미가 마니없어져서 안타까워요,이유리 씨가 다시나오면좋켔어요조정민씨 나오는 건 별로인 것 같습니다 재미가 많이 없어져서 안타까워요,49
10573,점점 재미 없어지는군 흠~,점점 재미 없어지는군 흠,점점 재미 없어지는군 흠,13
10574,이원일은 계속 나오기로 했나보네..트롯 지겨운데  ..이유리나  다시 나오지,이원일은 계속 나오기로 했나보네트롯 지겨운데  이유리나  다시 나오지,이원일은 계속 나오기로 했나 보에 트롯 지겨운데  유리나  다시 나오지,38
10575,조정민 하차좀해라 노래 프로그램도 아니고,조정민 하차좀해라 노래 프로그램도 아니고,조정민 하차 좀 해라 노래 프로그램도 아니고,22
10576,딱 오윤아까지만 .. 그 이후부터는 좀 별로인것같아요 ..,딱 오윤아까지만  그 이후부터는 좀 별로인것같아요 ,딱 오윤아까지만  그 이후부터는 좀 별로인 것 같아요,28
10577,와 너무 짜증나네요 재미없어요 이유리 다시 데리고와요,와 너무 짜증나네요 재미없어요 이유리 다시 데리고와요,와 너무 짜증 나네요 재미없어요 이유리 다시 데리고 와요,29
10578,음식 프로그램지?  트로트 프로그램인지  모르겟다,음식 프로그램지  트로트 프로그램인지  모르겟다,음식 프로그램지  트로트 프로그램인지  모르겠다,26
10579,편스토랑  애청자로 열심히 볼께요힘내세요~~,편스토랑  애청자로 열심히 볼께요힘내세요,편이 스토랑  애청자로 열심히 볼게요 힘내세요,22
10580,편스토랑도 이제 변질괴는구아..,편스토랑도 이제 변질괴는구아,편드 토랑도 이제 변질 괴는 구아,15
10581,이유리 나올 때가 제일 재밌었음 ㅠㅠ,이유리 나올 때가 제일 재밌었음 ㅠㅠ,이유리 나올 때가 제일 재밌었음 ㅠㅠ,20
